x	y
0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	-9.512294245007140159e-01
2.000000000000000000e+00	-1.856066842536673533e+00
3.000000000000000000e+00	-2.716774818961731341e+00
4.000000000000000000e+00	-3.535505572039713051e+00
5.000000000000000000e+00	-4.314306355111117597e+00
6.000000000000000000e+00	-5.055124575792835806e+00
7.000000000000000000e+00	-5.721019833907218910e+00
8.000000000000000000e+00	-6.337598950566753153e+00
9.000000000000000000e+00	-6.919102539095371540e+00
1.000000000000000000e+01	-7.434474662788699284e+00
1.100000000000000000e+01	-7.911651053335889472e+00
1.200000000000000000e+01	-8.326510845588785514e+00
1.300000000000000000e+01	-8.710118547639622122e+00
1.400000000000000000e+01	-9.039402772760739779e+00
1.500000000000000000e+01	-9.345395396927065335e+00
1.600000000000000000e+01	-9.604475928727271850e+00
1.700000000000000000e+01	-1.009833238338313954e+01
1.800000000000000000e+01	-1.064801973817003322e+01
1.900000000000000000e+01	-1.120164145155090551e+01
2.000000000000000000e+01	-1.169430911582125887e+01
2.100000000000000000e+01	-1.213829105786091667e+01
2.200000000000000000e+01	-1.275511508349133294e+01
2.300000000000000000e+01	-1.342069746038133005e+01
2.400000000000000000e+01	-1.403237429027424810e+01
2.500000000000000000e+01	-1.458417018654695774e+01
2.600000000000000000e+01	-1.503876364554199974e+01
2.700000000000000000e+01	-1.542490501446697770e+01
2.800000000000000000e+01	-1.576130223229545280e+01
2.900000000000000000e+01	-1.602153896500757924e+01
3.000000000000000000e+01	-1.623780702154644473e+01
3.100000000000000000e+01	-1.642842473751374399e+01
3.200000000000000000e+01	-1.660359760740678325e+01
3.300000000000000000e+01	-1.698146016361157962e+01
3.400000000000000000e+01	-1.743417914835985627e+01
3.500000000000000000e+01	-1.789427002638355546e+01
3.600000000000000000e+01	-1.832878152499372604e+01
3.700000000000000000e+01	-1.897505453286407473e+01
3.800000000000000000e+01	-1.963614001571558632e+01
3.900000000000000000e+01	-2.025615478536780500e+01
4.000000000000000000e+01	-2.077282750212456364e+01
4.100000000000000000e+01	-2.120429689403830409e+01
4.200000000000000000e+01	-2.181734356984850720e+01
4.300000000000000000e+01	-2.243178782284485706e+01
4.400000000000000000e+01	-2.325202602529137508e+01
4.500000000000000000e+01	-2.410513270746221437e+01
4.600000000000000000e+01	-2.490521860919051278e+01
4.700000000000000000e+01	-2.557870907446478270e+01
4.800000000000000000e+01	-2.613966626385749947e+01
4.900000000000000000e+01	-2.660443636077882346e+01
5.000000000000000000e+01	-2.698863599486146825e+01
5.100000000000000000e+01	-2.755719385801182497e+01
5.200000000000000000e+01	-2.812985158862040436e+01
5.300000000000000000e+01	-2.865936996613826437e+01
5.400000000000000000e+01	-2.908797026638821492e+01
5.500000000000000000e+01	-2.943592066735955015e+01
5.600000000000000000e+01	-2.971940978696304470e+01
5.700000000000000000e+01	-2.991278282750569417e+01
5.800000000000000000e+01	-3.005049658381503619e+01
5.900000000000000000e+01	-3.040470454651562093e+01
6.000000000000000000e+01	-3.083361895898654481e+01
6.100000000000000000e+01	-3.126360244615890593e+01
6.200000000000000000e+01	-3.165894416858591853e+01
6.300000000000000000e+01	-3.225815140577673645e+01
6.400000000000000000e+01	-3.286539053569670443e+01
6.500000000000000000e+01	-3.342611949508349767e+01
6.600000000000000000e+01	-3.387889868821147132e+01
6.700000000000000000e+01	-3.449560579673757843e+01
6.800000000000000000e+01	-3.509939566480402817e+01
6.900000000000000000e+01	-3.564674269253012540e+01
7.000000000000000000e+01	-3.608290485378979895e+01
7.100000000000000000e+01	-3.642966569403109389e+01
7.200000000000000000e+01	-3.695783366218984867e+01
7.300000000000000000e+01	-3.748775537031104221e+01
7.400000000000000000e+01	-3.797449692641512087e+01
7.500000000000000000e+01	-3.865143200410058455e+01
7.600000000000000000e+01	-3.936088496504715550e+01
7.700000000000000000e+01	-4.002527328140956087e+01
7.800000000000000000e+01	-4.061187908463792695e+01
7.900000000000000000e+01	-4.107315967921602606e+01
8.000000000000000000e+01	-4.143548960777638968e+01
8.100000000000000000e+01	-4.172130124836599663e+01
8.200000000000000000e+01	-4.194710568082607693e+01
8.300000000000000000e+01	-4.212607179485249986e+01
8.400000000000000000e+01	-4.248086259035033407e+01
8.500000000000000000e+01	-4.288876480153154347e+01
8.600000000000000000e+01	-4.324847617785331977e+01
8.700000000000000000e+01	-4.355488861673229906e+01
8.800000000000000000e+01	-4.377066268941344873e+01
8.900000000000000000e+01	-4.392609866079761360e+01
