x	y
0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	-9.512294245007140159e-01
2.000000000000000000e+00	2.504757296744453399e+01
3.000000000000000000e+00	-9.512294245007140159e-01
4.000000000000000000e+00	3.208400929786697020e+01
5.000000000000000000e+00	-9.512294245007140159e-01
6.000000000000000000e+00	3.245932863844473104e+01
7.000000000000000000e+00	-9.512294245007140159e-01
8.000000000000000000e+00	2.444769784295833759e+01
9.000000000000000000e+00	-9.512294245007140159e-01
1.000000000000000000e+01	4.161240931369457030e+01
1.100000000000000000e+01	-9.512294245007140159e-01
1.200000000000000000e+01	4.049830329053543210e+01
1.300000000000000000e+01	-9.512294245007140159e-01
1.400000000000000000e+01	2.727204868989444719e+01
1.500000000000000000e+01	-9.512294245007140159e-01
1.600000000000000000e+01	2.469422632038547150e+01
1.700000000000000000e+01	-9.512294245007140159e-01
1.800000000000000000e+01	2.314842633634666313e+01
1.900000000000000000e+01	-9.512294245007140159e-01
2.000000000000000000e+01	1.156745662784931383e+01
2.100000000000000000e+01	-9.512294245007140159e-01
2.200000000000000000e+01	2.052375312325186485e+01
2.300000000000000000e+01	-9.512294245007140159e-01
2.400000000000000000e+01	3.159468183417006770e+01
2.500000000000000000e+01	-9.512294245007140159e-01
2.600000000000000000e+01	3.387384907239215437e+01
2.700000000000000000e+01	-9.512294245007140159e-01
2.800000000000000000e+01	2.225981772571855899e+01
2.900000000000000000e+01	-9.512294245007140159e-01
3.000000000000000000e+01	2.034967356384655091e+01
3.100000000000000000e+01	-9.512294245007140159e-01
3.200000000000000000e+01	2.903254469099028157e+01
3.300000000000000000e+01	-9.512294245007140159e-01
3.400000000000000000e+01	2.037688120252121493e+01
3.500000000000000000e+01	-9.512294245007140159e-01
3.600000000000000000e+01	2.217545305102132147e+01
3.700000000000000000e+01	-9.512294245007140159e-01
3.800000000000000000e+01	2.329727600318837588e+01
3.900000000000000000e+01	-9.512294245007140159e-01
4.000000000000000000e+01	3.662801493527756236e+01
4.100000000000000000e+01	-9.512294245007140159e-01
4.200000000000000000e+01	1.655392692044813074e+01
4.300000000000000000e+01	-9.512294245007140159e-01
4.400000000000000000e+01	3.065230779602890010e+01
4.500000000000000000e+01	-9.512294245007140159e-01
4.600000000000000000e+01	3.646375631544164264e+01
4.700000000000000000e+01	-9.512294245007140159e-01
4.800000000000000000e+01	2.164756471034380070e+01
4.900000000000000000e+01	-9.512294245007140159e-01
5.000000000000000000e+01	2.636806597941211194e+01
5.100000000000000000e+01	-9.512294245007140159e-01
5.200000000000000000e+01	2.880147213979042320e+01
5.300000000000000000e+01	-9.512294245007140159e-01
5.400000000000000000e+01	1.711928583672362691e+01
5.500000000000000000e+01	-9.512294245007140159e-01
5.600000000000000000e+01	2.050769199424124523e+01
5.700000000000000000e+01	-9.512294245007140159e-01
5.800000000000000000e+01	2.410893299931527878e+01
5.900000000000000000e+01	-9.512294245007140159e-01
6.000000000000000000e+01	1.705733653207737177e+01
6.100000000000000000e+01	-9.512294245007140159e-01
6.200000000000000000e+01	2.403280534197111606e+01
6.300000000000000000e+01	-9.512294245007140159e-01
6.400000000000000000e+01	2.614185013768735288e+01
6.500000000000000000e+01	-9.512294245007140159e-01
6.600000000000000000e+01	3.028746754925250073e+01
6.700000000000000000e+01	-9.512294245007140159e-01
6.800000000000000000e+01	2.747976361908519749e+01
6.900000000000000000e+01	-9.512294245007140159e-01
7.000000000000000000e+01	2.315412631564801771e+01
7.100000000000000000e+01	-9.512294245007140159e-01
7.200000000000000000e+01	3.003273489319279577e+01
7.300000000000000000e+01	-9.512294245007140159e-01
7.400000000000000000e+01	3.690481801535229778e+01
7.500000000000000000e+01	-9.512294245007140159e-01
7.600000000000000000e+01	4.179721228555234802e+01
7.700000000000000000e+01	-9.512294245007140159e-01
7.800000000000000000e+01	3.714181380060343685e+01
7.900000000000000000e+01	-9.512294245007140159e-01
8.000000000000000000e+01	3.062068091056450569e+01
8.100000000000000000e+01	-9.512294245007140159e-01
8.200000000000000000e+01	3.382145346998685653e+01
8.300000000000000000e+01	-9.512294245007140159e-01
8.400000000000000000e+01	3.145967159003959779e+01
8.500000000000000000e+01	-9.512294245007140159e-01
8.600000000000000000e+01	2.456353434714672090e+01
8.700000000000000000e+01	-9.512294245007140159e-01
8.800000000000000000e+01	-8.945795268881376217e+00
8.900000000000000000e+01	8.014730868303542977e+00
